id	image_url
US10699023B1__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10699023B1__3.png
US11156385B2__37	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11156385B2__37.png
US10726263B1__18	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10726263B1__18.png
US8155280B1__93	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8155280B1__93.png
US11468482B2__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11468482B2__6.png
US9507919B2__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9507919B2__6.png
US10104081B2__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10104081B2__2.png
US20120116882A1__5	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20120116882A1__5.png
US10462627B2__202	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10462627B2__202.png
US7961705B2__22	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US7961705B2__22.png
US11429729B2__16	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11429729B2__16.png
US9633056B2__13	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9633056B2__13.png
US11223550B2__4	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11223550B2__4.png
US8839121B2__7	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8839121B2__7.png
US9807099B2__35	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9807099B2__35.png
US11204858B1__11	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11204858B1__11.png
US20140200944A1__24	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20140200944A1__24.png
US7765257B2__9	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US7765257B2__9.png
US20150066587A1__7	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20150066587A1__7.png
US8341427B2__14	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8341427B2__14.png
US20090319611A1__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20090319611A1__2.png
US7742773B2__10	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US7742773B2__10.png
US8856089B1__32	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8856089B1__32.png
US20130218978A1__5	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20130218978A1__5.png
US8429176B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8429176B2__3.png
US10515424B2__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10515424B2__6.png
US9398169B2__33	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9398169B2__33.png
US9444772B2__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9444772B2__2.png
US7865396B1__7	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US7865396B1__7.png
US8438131B2__9	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8438131B2__9.png
US10977630B2__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10977630B2__6.png
US9787639B1__13	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9787639B1__13.png
US20220100187A1__7	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20220100187A1__7.png
US20120185484A1__19	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20120185484A1__19.png
US10304163B2__16	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10304163B2__16.png
US10447905B2__7	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10447905B2__7.png
US8332334B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8332334B2__3.png
US9202572B2__37	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9202572B2__37.png
US10110536B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10110536B2__3.png
US9727639B2__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9727639B2__2.png
US10482429B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10482429B2__3.png
US8930472B2__15	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8930472B2__15.png
US10728941B2__12	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10728941B2__12.png
US8850027B2__9	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US8850027B2__9.png
US11200032B2__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11200032B2__6.png
US9923966B1__12	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9923966B1__12.png
US11118971B2__9	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11118971B2__9.png
US20220222593A1__11	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20220222593A1__11.png
US20220174125A1__35	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20220174125A1__35.png
US10067937B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10067937B2__3.png
US9904669B2__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9904669B2__2.png
US9042833B1__8	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9042833B1__8.png
US9697820B2__5	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9697820B2__5.png
US10727963B1__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10727963B1__3.png
US10097454B1__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10097454B1__2.png
US9756071B1__6	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9756071B1__6.png
US11010088B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11010088B2__3.png
US10510077B2__11	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US10510077B2__11.png
US20190188662A1__2	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US20190188662A1__2.png
US9323966B2__10	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9323966B2__10.png
US9158860B2__3	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9158860B2__3.png
US11343473B2__21	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US11343473B2__21.png
US9965151B2__19	https://raw.githubusercontent.com/0xnakul/PatentDesc-testims/b966911e328f44e16b4e6f6f81b57c4d24cddd4a/images/US9965151B2__19.png
